"Year","Month","GrossReturn","PriceReturn","CPI_Rate","CPI_adjusted_GR","CPI_adjusted_PR","CPIC_Rate","CPIC_adjusted_GR","CPIC_adjusted_PR","PPI_Rate","PPI_adjusted_GR","PPI_adjusted_PR"
1926,1,-0.001783,-0.00398,0,-0.00178299999999998,-0.00397999999999998,NA,NA,NA,0,-0.00178299999999998,-0.00397999999999998
1926,2,-0.033296,-0.037876,0,-0.033296,-0.037876,NA,NA,NA,-0.0112359550561797,-0.0223107272727273,-0.0269427727272729
1926,3,-0.057708,-0.062007,-0.00558659217877083,-0.0524142247191013,-0.0567373764044946,NA,NA,NA,-0.0170454545454546,-0.041367676300578,-0.045741225433526
1926,4,0.038522,0.034856,0.00561797752808977,0.0327202011173184,0.029074681564246,NA,NA,NA,0,0.0385219999999999,0.034856
1926,5,0.013623,0.00907,-0.00558659217877083,0.0193175112359547,0.0147389325842695,NA,NA,NA,0,0.0136229999999999,0.00906999999999991
1926,6,0.056427,0.050196,-0.00561797752808997,0.062395514124294,0.0561293107344634,NA,NA,NA,0,0.056427,0.0501959999999999
1926,7,0.040403,0.038168,-0.0112994350282485,0.05229332,0.050032777142857,NA,NA,NA,-0.0115606936416185,0.0525714561403507,0.0503103157894738
1926,8,0.029822,0.025747,-0.0057142857142858,0.0357405172413794,0.0316420977011496,NA,NA,NA,0,0.029822,0.025747
1926,9,0.01342,0.009122,0.00574712643678169,0.00762902857142844,0.0033555885714287,NA,NA,NA,0.00584795321637414,0.00752802325581392,0.00325501162790709
1926,10,-0.030172,-0.032434,0.0057142857142858,-0.0356823863636364,-0.0379315340909091,NA,NA,NA,-0.00581395348837197,-0.0245004912280703,-0.0267757192982456
1926,11,0.026937,0.019367,0.00568181818181806,0.0211350960451977,0.0136078644067796,NA,NA,NA,-0.00584795321637435,0.0329778058823529,0.0253632764705882
1926,12,0.026047,0.020321,0,0.0260469999999999,0.020321,NA,NA,NA,-0.00588235294117655,0.0321182840236687,0.0263584023668639
1927,1,-0.00291,-0.005579,-0.0112994350282485,0.00848531428571442,0.00578581142857137,NA,NA,NA,-0.029585798816568,0.0274890853658538,0.0247387134146342
